# b sq    D         sigma
10 1     167.6     0.4324
10 2     109.14    0.2454    
10 3     93.7      0.1662
10 4     67.3      0.1249
10 5     59.9      0.0999
10 6     58.6      0.0833
10 7     52.1      0.0714
10 8     47.6      0.0624
10 9     43.2      0.0555
20 1     861.3     0.4324
20 2     584.2     0.2454
20 3     461.9     0.1662
20 4     442       0.1248
20 5     374       0.0998
20 6     344       0.0832
20 7     311       0.0713
20 8     283.2     0.0623
20 9     254       0.0554
40 1     5058      0.4322
40 2     3766      0.2452
40 3     2898      0.1660
40 4     2709      0.1247 
40 5     2355      0.0997
40 6     2099      0.0831
40 7     1898      0.0712
40 8     1741      0.0623
40 9     1596      0.0553
	 

